WorkItemId_x,Title_x,WorkItemType_x,State_x,BusinessValue,TagNames,Custom_D1Planned,Custom_D2Planned,Custom_D3Planned,Custom_Heartbeat,Custom_TimeRegistrationID,GNH_ValueType_x,WorkItemId_y,Title_y,WorkItemType_y,State_y,ParentWorkItemId,Custom_FeatureAcousticDevelopmentCPH,Custom_FeatureAcousticDevelopmentXMN,Custom_FeatureElectronicIntegration,Custom_FeatureMaterialsandReliability,Custom_FeatureMechanicalDevelopmentCPH,Custom_FeatureMechanicalDevelopmentXMN,Custom_FeatureQualificationXMN,Custom_FeatureRadioSystems,Custom_LabellingEffort,Custom_MarketAccessEffort,Custom_Prioritized,Custom_ReasonForMustDo,Custom_RegulatoryCertificationEffort,Custom_RegulatoryProductComplianceEffort,Custom_RequestforPI,Custom_TestAutomationEffort,Custom_TestManuelEffort,Custom_TestSystemEffort,GNH_AppDev_Effort,GNH_AppSystem_Effort,GNH_Dev_Effort,GNH_FT_Effort,GNH_OS_Effort,GNH_QA_Effort,GNH_Sound_Effort,GNH_System_Effort,GNH_ValueType_y
1622556,Ives KA (Hearing Australia),Epic,Design and Develop,,2023Q3PI; 2023Q3PIplanning; Ives,,,,,61258.0,Key Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1622551,Scarlatti KA (CRAI),Epic,Design and Develop,,Grom; Scarlatti (KA),2023-06-19T00:00:00+02:00,2023-08-28T00:00:00+02:00,2024-01-01T00:00:00+01:00,,61260.0,Key Account,1644699.0,[CQ] Scarlatti - Key Accounts (KA) Type 2 (Launch),Feature,Ready,1622551.0,,,,,,,,,0.0,2.0,No,Highly possible Scarlatti may launch in Jan. 2024.,0.5,2.0,2024 Q1 PI,,,,,,,,,,,,Key Account
1622551,Scarlatti KA (CRAI),Epic,Design and Develop,,Grom; Scarlatti (KA),2023-06-19T00:00:00+02:00,2023-08-28T00:00:00+02:00,2024-01-01T00:00:00+01:00,,61260.0,Key Account,1634694.0,[CQ] Scarlatti KA CRAI - Key Accounts (KA) Type 2 - DQS & Launch,Feature,Ready,1622551.0,,,,,,,,,0.0,4.0,No,"Scarlatti is expected to launch in January 2024. For final launch date, wait for Mariana's reply.",1.5,4.0,2024 Q1 PI,,,,,,,,,,,,Key Account
1622551,Scarlatti KA (CRAI),Epic,Design and Develop,,Grom; Scarlatti (KA),2023-06-19T00:00:00+02:00,2023-08-28T00:00:00+02:00,2024-01-01T00:00:00+01:00,,61260.0,Key Account,1644699.0,[CQ] Scarlatti - Key Accounts (KA) Type 2 (Launch),Feature,Ready,1622551.0,,,,,,,,,0.0,2.0,No,Highly possible Scarlatti may launch in Jan. 2024.,0.5,2.0,2024 Q1 PI,,,,,,,,,,,,Key Account
1622551,Scarlatti KA (CRAI),Epic,Design and Develop,,Grom; Scarlatti (KA),2023-06-19T00:00:00+02:00,2023-08-28T00:00:00+02:00,2024-01-01T00:00:00+01:00,,61260.0,Key Account,1634694.0,[CQ] Scarlatti KA CRAI - Key Accounts (KA) Type 2 - DQS & Launch,Feature,Ready,1622551.0,,,,,,,,,0.0,4.0,No,"Scarlatti is expected to launch in January 2024. For final launch date, wait for Mariana's reply.",1.5,4.0,2024 Q1 PI,,,,,,,,,,,,Key Account
1610149,Replaceable Batt. - EU BR,Epic,New,,DetailsNotOK,,,,,61266.0,Technology,1610162.0,"EU Batt., Explore & Clarify Needs - EI",Feature,New,1610149.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Technology
1610149,Replaceable Batt. - EU BR,Epic,New,,DetailsNotOK,,,,,61266.0,Technology,1610167.0,"EU Batt., Clarify Direction - EI",Feature,New,1610149.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Technology
1610149,Replaceable Batt. - EU BR,Epic,New,,DetailsNotOK,,,,,61266.0,Technology,1610168.0,"EU Batt., Concept Evaluation - EI",Feature,New,1610149.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Technology
1610149,Replaceable Batt. - EU BR,Epic,New,,DetailsNotOK,,,,,61266.0,Technology,1610322.0,"EU Batt., Explore & Clarify Needs - EA 23Q2",Feature,New,1610149.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Technology
1610149,Replaceable Batt. - EU BR,Epic,New,,DetailsNotOK,,,,,61266.0,Technology,1610323.0,"EU Batt., Explore & Clarify Needs - RS",Feature,New,1610149.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Technology
